Goroka Airport,GKA
Dessau Airport,\N
Eisenhüttenstadt Airport,\N
Großenhain Airport,\N
Merseburg Airport,\N
Halle-Oppin Airport,\N
Riesa-Göhlis Airport,\N
Rechlin-Lärz Airport,\N
Strausberg Airport,\N
Schönhagen Airport,\N
Barth Airport,BBH
Jena-Schöngleina Airport,\N
Kyritz Airport,\N
Magdeburg \City\ Airport,\N
Rothenburg/Görlitz Airport,\N
Anklam Airport,\N
Cottbus-Drewitz Airport,\N
Kamenz Airport,\N
Berlin-Schönefeld International Airport,SXF
Dresden Airport,DRS
Erfurt Airport,ERF
Frankfurt am Main International Airport,FRA
Münster Osnabrück Airport,FMO
Hamburg Airport,HAM
Berlin-Tempelhof International Airport,THF
Cologne Bonn Airport,CGN
Düsseldorf International Airport,DUS
Munich International Airport,MUC
Nuremberg Airport,NUE
Leipzig Halle Airport,LEJ
Saarbrücken Airport,SCN
Stuttgart Airport,STR
Berlin-Tegel International Airport,TXL
Hannover Airport,HAJ
Bremen Airport,BRE
Frankfurt-Egelsbach Airport,QEF
Frankfurt-Hahn Airport,HHN
Mannheim-City Airport,MHG
Allendorf/Eder Airport,\N
Worms Airport,\N
Mainz-Finthen Airport,\N
Eisenach-Kindel Airport,\N
Siegerland Airport,\N
Hamburg-Finkenwerder Airport,XFW
Kiel-Holtenau Airport,KEL
Lübeck Blankensee Airport,LBC
Flugplatz Dahlemer Binz,\N
Meinerzhagen Airport,\N
Arnsberg-Menden Airport,ZCA
Essen Mulheim Airport,ESS
Bielefeld Airport,\N
Mönchengladbach Airport,MGL
Paderborn Lippstadt Airport,PAD
Stadtlohn-Vreden Airport,\N
Dortmund Airport,DTM
Augsburg Airport,AGB
Biberach a.d. Riß Airport,\N
Eggenfelden Airport,\N
Mindelheim-Mattsies Airport,\N
Oberpfaffenhofen Airport,OBF
Straubing Airport,RBM
Vilshofen Airport,\N
Leutkirch-Unterzeil Airport,\N
Friedrichshafen Airport,FDH
Schwerin Parchim Airport,SZW
Stendal-Borstel Airport,ZSN
Aalen-Heidenheim/Elchingen Airport,\N
Bayreuth Airport,BYU
Burg Feuerstein Airport,\N
Hof-Plauen Airport,HOQ
Haßfurt-Schweinfurt Airport,\N
Koblenz-Winningen Airport,ZNV
Trier-Föhren Airport,ZQF
Speyer Airport,ZQC
Zweibrücken Airport,ZQW
Donaueschingen-Villingen Airport,ZQL
Freiburg i. Br. Airport,\N
Mengen-Hohentengen Airport,\N
Adolf Würth Airport,\N
Finsterwalde/Schacksdorf Airport,\N
Braunschweig Wolfsburg Airport,BWE
Kassel-Calden Airport,KSF
Hildesheim Airport,\N
Bremerhaven Airport,BRV
Emden Airport,EME
Leer-Papenburg Airport,\N
Wilhelmshaven-Mariensiel Airport,WVN
Borkum Airport,BMK
Norderney Airport,NRD
Flensburg-Schäferhaus Airport,FLF
Rendsburg-Schachtholm Airport,\N
Westerland Sylt Airport,GWT
Ämari Air Base,\N
Kärdla Airport,KDL
Kuressaare Airport,URE
Pärnu Airport,EPU
Lennart Meri Tallinn Airport,TLL
Tartu Airport,TAY
Enontekio Airport,ENF
Eura Airport,\N
Halli Airport,KEV
Helsinki Malmi Airport,HEM
Helsinki Vantaa Airport,HEL
Hameenkyro Airport,\N
Hanko Airport,\N
Hyvinkää Airfield,HYV
Kiikala Airport,\N
Immola Airport,\N
Kitee Airport,\N
Ivalo Airport,IVL
Joensuu Airport,JOE
Jyvaskyla Airport,JYV
Kauhava Airport,KAU
Kemi-Tornio Airport,KEM
Kajaani Airport,KAJ
Kauhajoki Airport,\N
Kokkola-Pietarsaari Airport,KOK
Kemijarvi Airport,\N
Kuusamo Airport,KAO
Kittilä Airport,KTT
Kuopio Airport,KUO
Lahti Vesivehmaa Airport,\N
Lappeenranta Airport,LPP
Mariehamn Airport,MHQ
Menkijarvi Airport,\N
Mikkeli Airport,MIK
Nummela Airport,\N
Oulu Airport,OUL
Piikajarvi Airport,\N
Pori Airport,POR
Pudasjärvi Airport,\N
Pyhäsalmi Airport,\N
Raahe Pattijoki Airport,\N
Rantasalmi Airport,\N
Rovaniemi Airport,RVN
Rayskala Airport,\N
Savonlinna Airport,SVL
Selanpaa Airport,\N
Sodankyla Airport,SOT
Tampere-Pirkkala Airport,TMP
Teisko Airport,\N
Turku Airport,TKU
Utti Air Base,QVY
Vaasa Airport,VAA
Varkaus Airport,VRK
Ylivieska Airfield,\N
Belfast International Airport,BFS
St Angelo Airport,ENK
George Best Belfast City Airport,BHD
City of Derry Airport,LDY
Birmingham International Airport,BHX
Coventry Airport,CVT
Leicester Airport,\N
Gloucestershire Airport,GLO
Wolverhampton Halfpenny Green Airport,\N
Cotswold Airport,\N
Turweston Airport,\N
Wellesbourne Mountford Airport,\N
Manchester Airport,MAN
Manchester Woodford Airport,\N
Royal Marines Base Chivenor Airport,\N
Newquay Cornwall Airport,NQY
RAF Lyneham,LYE
MoD Boscombe Down Airport,\N
RNAS Culdrose,\N
MOD St. Athan,\N
RNAS Yeovilton,YEO
Haverfordwest Airport,\N
Cardiff International Airport,CWL
Swansea Airport,SWS
Bristol Airport,BRS
Liverpool John Lennon Airport,LPL
London Luton Airport,LTN
Plymouth City Airport,PLH
Bournemouth Airport,BOH
Southampton Airport,SOU
Lasham Airport,QLA
Alderney Airport,ACI
Guernsey Airport,GCI
Jersey Airport,JER
Shoreham Airport,ESH
London Biggin Hill Airport,BQH
London Gatwick Airport,LGW
London City Airport,LCY
Farnborough Airport,FAB
Chalgrove Airport,\N
Blackbushe Airport,BBS
London Heathrow Airport,LHR
Southend Airport,SEN
Lydd Airport,LYX
Kent International Airport,MSE
Brough Airport,\N
Carlisle Airport,CAX
Retford Gamston Airport,\N
Blackpool International Airport,BLK
Humberside Airport,HUY
Barrow Walney Island Airport,BWF
Leeds Bradford Airport,LBA
Warton Airport,\N
Hawarden Airport,CEG
Isle of Man Airport,IOM
Newcastle Airport,NCL
Durham Tees Valley Airport,MME
East Midlands Airport,EMA
Llanbedr Airport,\N
RAF Ternhill,\N
RAF Shawbury,\N
RAF Woodvale,\N
Kirkwall Airport,KOI
Sumburgh Airport,LSI
Wick Airport,WIC
Aberdeen Dyce Airport,ABZ
Inverness Airport,INV
Glasgow International Airport,GLA
Edinburgh Airport,EDI
Islay Airport,ILY
Glasgow Prestwick Airport,PIK
Benbecula Airport,BEB
Scatsta Airport,SCS
Dundee Airport,DND
Stornoway Airport,SYY
Tiree Airport,TRE
RAF Leuchars,ADX
RAF Lossiemouth,LMO
Cambridge Airport,CBG
Peterborough Business Airport,\N
Norwich International Airport,NWI
London Stansted Airport,STN
North Weald Airport,\N
Sheffield City Heliport,\N
Cranfield Airport,\N
Exeter International Airport,EXT
Bristol Filton Airport,FZO
Oxford (Kidlington) Airport,OXF
RAF Benson,\N
RAF Lakenheath,\N
RAF Mildenhall,MHZ
RAF Wattisham,\N
RAF Wyton,\N
RAF Fairford,FFD
RAF Brize Norton,BZZ
RAF Odiham,ODH
DCAE Cosford Air Base,\N
RAF Northolt,NHT
RAF Coningsby,QCY
RAF Dishforth,\N
Leeming Airport,\N
Leeds East Airport,\N
RAF Honington,BEQ
RAF Cottesmore,\N
RAF Scampton,\N
RAF Wittering,\N
RAF Linton-On-Ouse,HRT
RAF Waddington,WTN
RAF Topcliffe,\N
RAF Cranwell,\N
RAF Barkston Heath,\N
RAF Marham,KNF
Mount Pleasant Airport,MPN
Amsterdam Airport Schiphol,AMS
Budel Airport,\N
Maastricht Aachen Airport,MST
Deelen Air Base,\N
Drachten Airport,\N
Eindhoven Airport,EIN
Eelde Airport,GRQ
Gilze Rijen Air Base,\N
De Kooy Airport,DHR
Lelystad Airport,LEY
Leeuwarden Air Base,LWR
Rotterdam The Hague Airport,RTM
Soesterberg Air Base,UTC
Twente Airfield,ENS
Valkenburg Naval Air Base,LID
Woensdrecht Air Base,WOE
Cork Airport,ORK
Galway Airport,GWY
Dublin Airport,DUB
Ireland West Knock Airport,NOC
Kerry Airport,KIR
Casement Air Base,\N
Shannon Airport,SNN
Sligo Airport,SXL
Waterford Airport,WAT
Aarhus Airport,AAR
Billund Airport,BLL
Copenhagen Kastrup Airport,CPH
Esbjerg Airport,EBJ
Grønholt Hillerød Airport,\N
Karup Airport,KRP
Læsø Airport,\N
Lolland Falster Maribo Airport,\N
Odense Airport,ODE
Kruså-Padborg Airport,\N
Copenhagen Roskilde Airport,RKE
Bornholm Airport,RNN
Sønderborg Airport,SGD
Skrydstrup Air Base,SKS
Skive Airport,\N
Thisted Airport,TED
Kolding Vamdrup Airport,\N
Vagar Airport,FAE
Vesthimmerlands Flyveplads,\N
Stauning Airport,STA
Aalborg Airport,AAL
Luxembourg-Findel International Airport,LUX
Ålesund Airport,AES
Andøya Airport,ANX
Alta Airport,ALF
Bømoen Airport,\N
Brønnøysund Airport,BNN
Bodø Airport,BOO
Bergen Airport Flesland,BGO
Båtsfjord Airport,BJF
Kristiansand Airport,KRS
Geilo Airport Dagali,\N
Bardufoss Airport,BDU
Harstad/Narvik Airport,Norway
Leirin Airport,VDB
Florø Airport,FRO
Oslo Gardermoen Airport,OSL
Haugesund Airport,HAU
Hasvik Airport,HAA
Kristiansund Airport (Kvernberget),KSU
Kjeller Airport,\N
Kirkenes Airport (Høybuktmoen),KKN
Lista Airport,FAN
Molde Airport,MOL
Mosjøen Airport (Kjærstad),MJF
Banak Airport,LKL
Notodden Airport,NTB
Ørland Airport,OLA
Røros Airport,RRS
Moss-Rygge Airport,RYG
Svalbard Airport,Norway
Skien Airport,SKE
Stord Airport,SRP
Sandnessjøen Airport (Stokka),SSJ
Tromsø Airport,TOS
Sandefjord Airport,Norway
Trondheim Airport Værnes,TRD
Stavanger Airport Sola,SVG
Babice Airport,\N
Gdańsk Lech Wałęsa Airport,GDN
John Paul II International Airport Kraków-Balice Airport,KRK
Muchowiec Airport,\N
Katowice International Airport,KTW
Mielec Airport,\N
Poznań-Ławica Airport,POZ
Rzeszów-Jasionka Airport,RZE
Szczecin-Goleniów \Solidarność\ Airport,SZZ
Redzikowo Air Base,OSP
Swidwin Military Air Base,\N
Warsaw Chopin Airport,WAW
Copernicus Wrocław Airport,WRO
Zielona Góra-Babimost Airport,IEG
Malmen Air Base,\N
Bråvalla Air Base,\N
Uppsala Airport,\N
Ronneby Airport,RNB
Råda Air Base,\N
Gothenburg-Landvetter Airport,GOT
Jönköping Airport,JKG
Falköping Airport,\N
Lidköping-Hovby Airport,LDK
Gothenburg City Airport,GSE
Skövde Airport,KVB
Trollhättan-Vänersborg Airport,THN
Karlsborg Air Base,\N
Såtenäs Air Base,\N
Barkarby Airport,\N
Karlskoga Airport,KSK
Mora Airport,MXX
Stockholm Skavsta Airport,NYO
Arvika Airport,\N
Emmaboda Airfield,\N
Feringe Airport,\N
Kristianstad Airport,KID
Landskrona Airport,JLD
Oskarshamn Airport,OSK
Anderstorp Airport,\N
Kalmar Airport,KLR
Malmö Sturup Airport,MMX
Halmstad Airport,HAD
Hagshult Airport,\N
Växjö Kronoberg Airport,VXO
Hallviken Airport,\N
Hedlanda Airport,\N
Sveg Airport,EVG
Gällivare Airport,GEV
Hudiksvall Airport,HUV
Jokkmokk Airport,\N
Kramfors Sollefteå Airport,KRF
Lycksele Airport,LYC
Optand Airport,\N
Sundsvall-Härnösand Airport,SDL
Örnsköldsvik Airport,OER
Piteå Airport,\N
Kiruna Airport,KRN
Orsa Airport,\N
Skellefteå Airport,SFT
Sättna Airport,\N
Umeå Airport,UME
Vilhelmina Airport,VHM
Arvidsjaur Airport,AJR
Örebro Airport,ORB
Stockholm Västerås Airport,VST
Luleå Airport,LLA
Vidsel Air Base,\N
Arboga Airport,\N
Stockholm-Arlanda Airport,ARN
Stockholm-Bromma Airport,BMA
Borlange Airport,BLE
Hultsfred Airport,HLF
Gävle Sandviken Airport,GVX
Linköping City Airport,LPI
Norrköping Airport,NRK
Eskilstuna Airport,\N
Visby Airport,VBY
Kalixfors Airport,\N
Spangdahlem Air Base,SPM
Ramstein Air Base,RMS
[Duplicate] Giebelstadt Army Air Field,GHF
Bückeburg Air Base,\N
Celle Airport,ZCN
Rheine Bentlage Air Base,\N
Fritzlar Airport,\N
Laupheim Air Base,\N
Mendig Airport,\N
Niederstetten Army Air Base,\N
Roth Airport,\N
Fassberg Air Base,\N
Grafenwohr Army Air Field,\N
Hanau Army Air Field,ZNF
Hohenfels Army Air Field,\N
Kitzingen Army Air Field,\N
Nordholz Naval Airbase,\N
Diepholz Air Base,\N
Geilenkirchen Air Base,GKE
Hohn Airport,\N
Jever Air Base,\N
Rostock-Laage Airport,RLG
Nörvenich Air Base,\N
Schleswig Air Base,\N
Wittmundhafen Airport,\N
Wunstorf Air Base,\N
Vilseck Army Air Field,\N
Coleman Army Air Field,\N
Wiesbaden Army Airfield,\N
Landsberg Lech Air Base,\N
Büchel Air Base,\N
Erding Airport,\N
Fürstenfeldbruck Airport,FEL
Holzdorf Air Base,\N
Ingolstadt Manching Airport,IGS
Lechfeld Airport,\N
Neuburg AFB,\N
Gütersloh Air Base,GUT
Alexander Bay Airport,ALJ
Aggeneys Airport,AGZ
Brakpan Airport,\N
Bisho Airport,BIY
Bram Fischer International Airport,BFN
Bethlehem Airport,\N
Hendrik Potgieter Airport,\N
Cape Town International Airport,CPT
Calvinia Airport,\N
King Shaka International Airport,DUR
Ben Schoeman Airport,ELS
Ermelo Airport,\N
Ficksburg Sentraoes Airport,\N
Grand Central Airport,GCJ
George Airport,GRJ
Graaff Reinet Airport,\N
Grahamstown Airport,\N
Greytown Airport,\N
Harmony Airport,\N
Harrismith Airport,\N
Hoedspruit Air Force Base Airport,HDS
Gariep Dam Airport,\N
OR Tambo International Airport,JNB
P C Pelser Airport,\N
Kimberley Airport,KIM
Krugersdorp Airport,\N
Kroonstad Airport,\N
Johan Pienaar Airport,KMH
Kleinsee Airport,KLZ
Lanseria Airport,HLA
Lichtenburg Airport,\N
Makhado Air Force Base Airport,\N
Langebaanweg Airport,\N
Ladysmith Airport,LAY
Middelburg Airport,\N
Margate Airport,MGH
Marble Hall Airport,\N
Majuba Power Station Airport,\N
Riverside Airport,\N
Morningside Farm Airport,MEZ
Mkuze Airport,\N
Newcastle Airport,NCS
Nylstroom Airfield,\N
Overberg Airport,\N
Oudtshoorn Airport,DUH
Port Elizabeth Airport,PLZ
Plettenberg Bay Airport,\N
Hendrik Van Eck Airport,PHW
Pietersburg Municipal Airport,\N
Port St Johns Airport,\N
Pietermaritzburg Airport,PZB
Pilanesberg International Airport,NTY
Polokwane International Airport,PTG
Potchefstroom Airport,\N
Parys Airport,\N
Queenstown Airport,UTW
Richards Bay Airport,RCB
Rustenburg Airport,\N
Robertson Airport,ROD
Springbok Airport,SBU
Secunda Airport,\N
Saldanha /Vredenburg Airport,\N
Springs Airfield,\N
Swartkop Air Force Base,\N
Sishen Airport,SIS
Hendrik Swellengrebel Airport,\N
Skukuza Airport,SZK
Tommys Field Airport,\N
New Tempe Airport,\N
Tutuka Power Station Airport,\N
Tzaneen Airport,LTA
Prince Mangosuthu Buthelezi Airport,ULD
Pierre Van Ryneveld Airport,UTN
K. D. Matanzima Airport,UTT
Vryburg Airport,VRU
Virginia Airport,VIR
Vredendal Airport,\N
Vereeniging Airport,\N
Wonderboom Airport,PRY
Witbank Airport,\N
Waterkloof Air Force Base,\N
Welkom Airport,WEL
Ysterplaat Air Force Base,\N
Zeerust Airport,\N
Francistown Airport,FRW
Jwaneng Airport,JWA
Kasane Airport,BBK
Maun Airport,MUB
Sir Seretse Khama International Airport,GBE
Selebi Phikwe Airport,PKW
Maya-Maya Airport,BZV
Owando Airport,FTX
Ouesso Airport,OUE
Pointe Noire Airport,PNR
Matsapha Airport,MTS
Bangui M'Poko International Airport,BGF
Berbérati Airport,BBT
Bata Airport,BSG
Malabo Airport,SSG
RAF Ascension Island,ASI
Sir Seewoosagur Ramgoolam International Airport,MRU
Sir Charles Gaetan Duval Airport,RRG
Diego Garcia Naval Support Facility,\N
Tiko Airport,TKC
Douala International Airport,DLA
Salak Airport,MVR
Foumban Nkounja Airport,FOM
N'Gaoundéré Airport,NGE
Garoua International Airport,GOU
Bafoussam Airport,BFX
Bamenda Airport,BPC
Yaoundé Airport,YAO
Kasompe Airport,\N
Livingstone Airport,LVI
Kenneth Kaunda International Airport Lusaka,LUN
Mfuwe Airport,MFU
Mongu Airport,\N
Simon Mwansa Kapwepwe International Airport,NLA
Southdowns Airport,KIW
Prince Said Ibrahim International Airport,HAH
Mohéli Bandar Es Eslam Airport,NWA
Ouani Airport,AJN
Dzaoudzi Pamandzi International Airport,DZA
Roland Garros Airport,RUN
Pierrefonds Airport,ZSE
Ivato Airport,TNR
Miandrivazo Airport,ZVA
Sainte Marie Airport,SMS
Toamasina Airport,TMM
Morondava Airport,MOQ
Arrachart Airport,DIE
Mananara Nord Airport,WMR
Andapa Airport,ZWA
Ambilobe Airport,AMB
Antsirabato Airport,ANM
Analalava Airport,HVA
Amborovy Airport,MJN
Fascene Airport,NOS
Besalampy Airport,BPY
Maroantsetra Airport,WMN
Sambava Airport,SVB
Vohimarina Airport,VOH
Ambalabe Airport,WAI
Ampampamena Airport,IVA
Tôlanaro Airport,FTU
Fianarantsoa Airport,WFI
Farafangana Airport,RVA
Manakara Airport,WVK
Mananjary Airport,MNJ
Morombe Airport,MXM
Toliara Airport,TLE
Mbanza Congo Airport,SSY
Benguela Airport,BUG
Cabinda Airport,CAB
Nova Lisboa Airport,NOV
Kuito Airport,SVP
Lobito Airport,\N
Quatro de Fevereiro Airport,LAD
Malanje Airport,MEG
Menongue Airport,SPP
Negage Airport,GXG
Porto Amboim Airport,PBN
Saurimo Airport,VHC
Soyo Airport,SZA
Lubango Airport,SDD
Luena Airport,LUO
Uige Airport,UGO
Xangongo Airport,XGN
Oyem Airport,OYE
Okondja Airport,OKN
Lambarene Airport,LBQ
Bitam Airport,BMM
Port Gentil Airport,POG
Omboue Hopital Airport,OMB
Makokou Airport,MKU
Libreville Leon M'ba International Airport,LBV
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB
Principe Airport,PCP
São Tomé International Airport,TMS
Beira Airport,BEW
Inhambane Airport,INH
Lichinga Airport,VXC
